,trial,choice,result,game_state,scheduled_probability,rt_central,rt_choice,time_start,time_end,subject,date,med_program_file,session
132,133,melioration,not_rewarded,0,0.3333,1.23,1.01,2116.35,2128.59,P327,06/06/17,harvard_game_pigeons,s04
133,134,melioration,rewarded,0,0.3333,0.59,1.68,2130.59,2145.86,P327,06/06/17,harvard_game_pigeons,s04
134,135,melioration,rewarded,0,0.3333,0.79,0.6,2147.86,2162.25,P327,06/06/17,harvard_game_pigeons,s04
135,136,melioration,not_rewarded,0,0.3333,0.87,0.88,2164.25,2176.0,P327,06/06/17,harvard_game_pigeons,s04
136,137,melioration,not_rewarded,0,0.3333,0.58,1.98,2178.0,2190.56,P327,06/06/17,harvard_game_pigeons,s04
137,138,melioration,not_rewarded,0,0.3333,0.74,1.26,2192.56,2204.56,P327,06/06/17,harvard_game_pigeons,s04
138,139,melioration,rewarded,0,0.3333,1.23,1.6,2206.56,2222.39,P327,06/06/17,harvard_game_pigeons,s04
139,140,melioration,rewarded,0,0.3333,6.43,0.9,2224.39,2244.72,P327,06/06/17,harvard_game_pigeons,s04
140,141,melioration,not_rewarded,0,0.3333,0.8,1.47,2246.72,2258.99,P327,06/06/17,harvard_game_pigeons,s04
141,142,melioration,not_rewarded,0,0.3333,1.67,1.6,2260.99,2274.26,P327,06/06/17,harvard_game_pigeons,s04
142,143,melioration,not_rewarded,0,0.3333,0.77,0.9,2276.26,2287.93,P327,06/06/17,harvard_game_pigeons,s04
143,144,melioration,rewarded,0,0.3333,0.63,1.74,2289.93,2305.3,P327,06/06/17,harvard_game_pigeons,s04
144,145,melioration,not_rewarded,0,0.3333,1.42,1.66,2307.3,2320.38,P327,06/06/17,harvard_game_pigeons,s04
145,146,melioration,not_rewarded,0,0.3333,0.7,0.88,2322.38,2333.96,P327,06/06/17,harvard_game_pigeons,s04
146,147,melioration,rewarded,0,0.3333,1.59,1.71,2335.96,2352.26,P327,06/06/17,harvard_game_pigeons,s04
147,148,melioration,not_rewarded,0,0.3333,0.95,1.58,2354.26,2366.79,P327,06/06/17,harvard_game_pigeons,s04
148,149,melioration,not_rewarded,0,0.3333,1.01,0.79,2368.79,2380.59,P327,06/06/17,harvard_game_pigeons,s04
149,150,melioration,not_rewarded,0,0.3333,11.05,0.77,2382.59,2404.41,P327,06/06/17,harvard_game_pigeons,s04
150,151,melioration,not_rewarded,0,0.3333,1.44,1.26,2406.41,2419.11,P327,06/06/17,harvard_game_pigeons,s04
151,152,melioration,not_rewarded,0,0.3333,1.09,2.78,2421.11,2434.98,P327,06/06/17,harvard_game_pigeons,s04
152,153,melioration,not_rewarded,0,0.3333,1.55,0.8,2436.98,2449.33,P327,06/06/17,harvard_game_pigeons,s04
153,154,melioration,not_rewarded,0,0.3333,0.81,1.09,2451.33,2463.23,P327,06/06/17,harvard_game_pigeons,s04
154,155,melioration,not_rewarded,0,0.3333,1.28,0.84,2465.23,2477.35,P327,06/06/17,harvard_game_pigeons,s04
155,156,melioration,rewarded,0,0.3333,0.64,1.65,2479.35,2494.64,P327,06/06/17,harvard_game_pigeons,s04
156,157,melioration,not_rewarded,0,0.3333,0.85,1.58,2496.64,2509.07,P327,06/06/17,harvard_game_pigeons,s04
157,158,melioration,rewarded,0,0.3333,1.08,0.94,2511.07,2526.09,P327,06/06/17,harvard_game_pigeons,s04
158,159,melioration,rewarded,0,0.3333,1.03,0.77,2528.09,2542.89,P327,06/06/17,harvard_game_pigeons,s04
159,160,melioration,not_rewarded,0,0.3333,0.91,1.12,2544.89,2556.92,P327,06/06/17,harvard_game_pigeons,s04
160,161,melioration,rewarded,0,0.3333,0.57,1.17,2558.92,2573.66,P327,06/06/17,harvard_game_pigeons,s04
161,162,melioration,not_rewarded,0,0.3333,0.71,0.78,2575.66,2587.15,P327,06/06/17,harvard_game_pigeons,s04
162,163,melioration,rewarded,0,0.3333,1.34,1.22,2589.15,2604.71,P327,06/06/17,harvard_game_pigeons,s04
163,164,melioration,not_rewarded,0,0.3333,0.95,1.01,2606.71,2618.67,P327,06/06/17,harvard_game_pigeons,s04
164,165,melioration,not_rewarded,0,0.3333,0.66,0.73,2620.67,2632.06,P327,06/06/17,harvard_game_pigeons,s04
165,166,melioration,not_rewarded,0,0.3333,0.59,0.8,2634.06,2645.45,P327,06/06/17,harvard_game_pigeons,s04
166,167,melioration,not_rewarded,0,0.3333,0.9,1.51,2647.45,2659.86,P327,06/06/17,harvard_game_pigeons,s04
